Room: 303, Node number: 2, [2, '303', 0, 1526217708.527, datetime.datetime(2018, 5, 13, 18, 51, 48, 527000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217724.438, datetime.datetime(2018, 5, 13, 18, 52, 4, 438000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217727.224, datetime.datetime(2018, 5, 13, 18, 52, 7, 224000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217733.793, datetime.datetime(2018, 5, 13, 18, 52, 13, 793000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217736.575, datetime.datetime(2018, 5, 13, 18, 52, 16, 575000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217743.707, datetime.datetime(2018, 5, 13, 18, 52, 23, 707000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217746.502, datetime.datetime(2018, 5, 13, 18, 52, 26, 502000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217791.569, datetime.datetime(2018, 5, 13, 18, 53, 11, 569000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217798.078, datetime.datetime(2018, 5, 13, 18, 53, 18, 78000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217800.869, datetime.datetime(2018, 5, 13, 18, 53, 20, 869000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217808.955, datetime.datetime(2018, 5, 13, 18, 53, 28, 955000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217811.746, datetime.datetime(2018, 5, 13, 18, 53, 31, 746000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217836.585, datetime.datetime(2018, 5, 13, 18, 53, 56, 585000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217839.375, datetime.datetime(2018, 5, 13, 18, 53, 59, 375000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217847.298, datetime.datetime(2018, 5, 13, 18, 54, 7, 298000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217853.099, datetime.datetime(2018, 5, 13, 18, 54, 13, 99000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217855.873, datetime.datetime(2018, 5, 13, 18, 54, 15, 873000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217861.266, datetime.datetime(2018, 5, 13, 18, 54, 21, 266000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217864.036, datetime.datetime(2018, 5, 13, 18, 54, 24, 36000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217870.086, datetime.datetime(2018, 5, 13, 18, 54, 30, 86000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217872.875, datetime.datetime(2018, 5, 13, 18, 54, 32, 875000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217878.098, datetime.datetime(2018, 5, 13, 18, 54, 38, 98000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217880.888, datetime.datetime(2018, 5, 13, 18, 54, 40, 888000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217906.793, datetime.datetime(2018, 5, 13, 18, 55, 6, 793000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217909.567, datetime.datetime(2018, 5, 13, 18, 55, 9, 567000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217914.844, datetime.datetime(2018, 5, 13, 18, 55, 14, 844000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217917.632, datetime.datetime(2018, 5, 13, 18, 55, 17, 632000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217923.17, datetime.datetime(2018, 5, 13, 18, 55, 23, 170000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217925.971, datetime.datetime(2018, 5, 13, 18, 55, 25, 971000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217931.724, datetime.datetime(2018, 5, 13, 18, 55, 31, 724000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217934.527, datetime.datetime(2018, 5, 13, 18, 55, 34, 527000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217939.858, datetime.datetime(2018, 5, 13, 18, 55, 39, 858000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217942.628, datetime.datetime(2018, 5, 13, 18, 55, 42, 628000)]
Room: 303, Node number: 3, [3, '303', 1, 1526217946.275, datetime.datetime(2018, 5, 13, 18, 55, 46, 275000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217948.2, datetime.datetime(2018, 5, 13, 18, 55, 48, 200000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217950.979, datetime.datetime(2018, 5, 13, 18, 55, 50, 979000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217956.533, datetime.datetime(2018, 5, 13, 18, 55, 56, 533000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217959.324, datetime.datetime(2018, 5, 13, 18, 55, 59, 324000)]
Room: 303, Node number: 3, [3, '303', 1, 1526217961.842, datetime.datetime(2018, 5, 13, 18, 56, 1, 842000)]
Room: 303, Node number: 3, [3, '303', 0, 1526217965.699, datetime.datetime(2018, 5, 13, 18, 56, 5, 699000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217979.606, datetime.datetime(2018, 5, 13, 18, 56, 19, 606000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217982.41, datetime.datetime(2018, 5, 13, 18, 56, 22, 410000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217988.169, datetime.datetime(2018, 5, 13, 18, 56, 28, 169000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217990.951, datetime.datetime(2018, 5, 13, 18, 56, 30, 951000)]
Room: 303, Node number: 2, [2, '303', 1, 1526217996.307, datetime.datetime(2018, 5, 13, 18, 56, 36, 307000)]
Room: 303, Node number: 2, [2, '303', 0, 1526217999.097, datetime.datetime(2018, 5, 13, 18, 56, 39, 97000)]
Room: 303, Node number: 2, [2, '303', 1, 1526218004.327, datetime.datetime(2018, 5, 13, 18, 56, 44, 327000)]
Room: 303, Node number: 2, [2, '303', 0, 1526218007.127, datetime.datetime(2018, 5, 13, 18, 56, 47, 127000)]
Room: 303, Node number: 2, [2, '303', 1, 1526218012.593, datetime.datetime(2018, 5, 13, 18, 56, 52, 593000)]
Room: 303, Node number: 3, [3, '303', 1, 1526218015.089, datetime.datetime(2018, 5, 13, 18, 56, 55, 89000)]
Room: 303, Node number: 2, [2, '303', 0, 1526218015.373, datetime.datetime(2018, 5, 13, 18, 56, 55, 373000)]
Room: 303, Node number: 3, [3, '303', 0, 1526218018.98, datetime.datetime(2018, 5, 13, 18, 56, 58, 980000)]
Room: 303, Node number: 2, [2, '303', 1, 1526218021.753, datetime.datetime(2018, 5, 13, 18, 57, 1, 753000)]
Room: 303, Node number: 2, [2, '303', 0, 1526218024.542, datetime.datetime(2018, 5, 13, 18, 57, 4, 542000)]
Room: 303, Node number: 3, [3, '303', 1, 1526218025.328, datetime.datetime(2018, 5, 13, 18, 57, 5, 328000)]
Room: 303, Node number: 3, [3, '303', 0, 1526218029.214, datetime.datetime(2018, 5, 13, 18, 57, 9, 214000)]
Room: 303, Node number: 2, [2, '303', 1, 1526218029.95, datetime.datetime(2018, 5, 13, 18, 57, 9, 950000)]
Room: 303, Node number: 2, [2, '303', 0, 1526218032.742, datetime.datetime(2018, 5, 13, 18, 57, 12, 742000)]
Room: 303, Node number: 2, [2, '303', 1, 1526218038.093, datetime.datetime(2018, 5, 13, 18, 57, 18, 93000)]
Room: 303, Node number: 3, [3, '303', 1, 1526218038.447, datetime.datetime(2018, 5, 13, 18, 57, 18, 447000)]
Room: 303, Node number: 2, [2, '303', 0, 1526218040.897, datetime.datetime(2018, 5, 13, 18, 57, 20, 897000)]
Room: 303, Node number: 3, [3, '303', 0, 1526218042.324, datetime.datetime(2018, 5, 13, 18, 57, 22, 324000)]
Room: 303, Node number: 3, [3, '303', 1, 1526218051.453, datetime.datetime(2018, 5, 13, 18, 57, 31, 453000)]
Room: 303, Node number: 2, [2, '303', 1, 1526218052.169, datetime.datetime(2018, 5, 13, 18, 57, 32, 169000)]
Room: 303, Node number: 2, [2, '303', 0, 1526218054.953, datetime.datetime(2018, 5, 13, 18, 57, 34, 953000)]
Room: 303, Node number: 3, [3, '303', 0, 1526218055.322, datetime.datetime(2018, 5, 13, 18, 57, 35, 322000)]
Room: 303, Node number: 3, [3, '303', 1, 1526218060.57, datetime.datetime(2018, 5, 13, 18, 57, 40, 570000)]
Room: 303, Node number: 2, [2, '303', 1, 1526218062.13, datetime.datetime(2018, 5, 13, 18, 57, 42, 130000)]
Room: 303, Node number: 3, [3, '303', 0, 1526218064.445, datetime.datetime(2018, 5, 13, 18, 57, 44, 445000)]
Room: 303, Node number: 2, [2, '303', 0, 1526218064.915, datetime.datetime(2018, 5, 13, 18, 57, 44, 915000)]
Room: 303, Node number: 2, [2, '303', 1, 1526218071.02, datetime.datetime(2018, 5, 13, 18, 57, 51, 20000)]
Room: 303, Node number: 3, [3, '303', 1, 1526218072.855, datetime.datetime(2018, 5, 13, 18, 57, 52, 855000)]
Room: 303, Node number: 2, [2, '303', 0, 1526218073.81, datetime.datetime(2018, 5, 13, 18, 57, 53, 810000)]
Room: 303, Node number: 3, [3, '303', 0, 1526218076.711, datetime.datetime(2018, 5, 13, 18, 57, 56, 711000)]
Room: 303, Node number: 2, [2, '303', 1, 1526218079.247, datetime.datetime(2018, 5, 13, 18, 57, 59, 247000)]
Room: 303, Node number: 2, [2, '303', 0, 1526218082.045, datetime.datetime(2018, 5, 13, 18, 58, 2, 45000)]
Room: 303, Node number: 3, [3, '303', 1, 1526218083.356, datetime.datetime(2018, 5, 13, 18, 58, 3, 356000)]
Room: 303, Node number: 3, [3, '303', 0, 1526218087.21, datetime.datetime(2018, 5, 13, 18, 58, 7, 210000)]
