Room: 303, Node number: 2, [2, '303', 0, 1526371211.969, datetime.datetime(2018, 5, 15, 13, 30, 11, 969000)]
Room: 303, Node number: 2, [2, '303', 1, 1526371231.226, datetime.datetime(2018, 5, 15, 13, 30, 31, 226000)]
Room: 303, Node number: 2, [2, '303', 0, 1526371236.835, datetime.datetime(2018, 5, 15, 13, 30, 36, 835000)]
Room: 303, Node number: 2, [2, '303', 1, 1526371267.479, datetime.datetime(2018, 5, 15, 13, 31, 7, 479000)]
Room: 303, Node number: 2, [2, '303', 0, 1526371271.101, datetime.datetime(2018, 5, 15, 13, 31, 11, 101000)]
Room: 303, Node number: 2, [2, '303', 1, 1526371286.451, datetime.datetime(2018, 5, 15, 13, 31, 26, 451000)]
Room: 303, Node number: 2, [2, '303', 0, 1526371288.928, datetime.datetime(2018, 5, 15, 13, 31, 28, 928000)]
Room: 303, Node number: 2, [2, '303', 0, 1526371299.796, datetime.datetime(2018, 5, 15, 13, 31, 39, 796000)]
Room: 303, Node number: 2, [2, '303', 1, 1526371309.148, datetime.datetime(2018, 5, 15, 13, 31, 49, 148000)]
Room: 303, Node number: 2, [2, '303', 0, 1526371311.887, datetime.datetime(2018, 5, 15, 13, 31, 51, 887000)]
Room: 303, Node number: 3, [3, '303', 0, 1526371322.437, datetime.datetime(2018, 5, 15, 13, 32, 2, 437000)]
Room: 303, Node number: 2, [2, '303', 1, 1526371365.114, datetime.datetime(2018, 5, 15, 13, 32, 45, 114000)]
Room: 303, Node number: 3, [3, '303', 1, 1526371365.709, datetime.datetime(2018, 5, 15, 13, 32, 45, 709000)]
Room: 303, Node number: 2, [2, '303', 0, 1526371367.866, datetime.datetime(2018, 5, 15, 13, 32, 47, 866000)]
Room: 303, Node number: 3, [3, '303', 0, 1526371369.939, datetime.datetime(2018, 5, 15, 13, 32, 49, 939000)]
Room: 303, Node number: 3, [3, '303', 1, 1526371374.91, datetime.datetime(2018, 5, 15, 13, 32, 54, 910000)]
