Room: 303, Node number: 3, [3, '303', 0, 1526612688.514, datetime.datetime(2018, 5, 18, 8, 34, 48, 514000)]
Room: 303, Node number: 3, [3, '303', 1, 1526612694.344, datetime.datetime(2018, 5, 18, 8, 34, 54, 344000)]
Room: 303, Node number: 2, [2, '303', 1, 1526612696.325, datetime.datetime(2018, 5, 18, 8, 34, 56, 325000)]
Room: 303, Node number: 2, [2, '303', 1, 1526612696.377, datetime.datetime(2018, 5, 18, 8, 34, 56, 377000)]
Room: 303, Node number: 3, [3, '303', 0, 1526612697.076, datetime.datetime(2018, 5, 18, 8, 34, 57, 76000)]
Room: 303, Node number: 3, [3, '303', 1, 1526614068.047, datetime.datetime(2018, 5, 18, 8, 57, 48, 47000)]
Room: 303, Node number: 3, [3, '303', 0, 1526614068.097, datetime.datetime(2018, 5, 18, 8, 57, 48, 97000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614192.038, datetime.datetime(2018, 5, 18, 8, 59, 52, 38000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614192.06, datetime.datetime(2018, 5, 18, 8, 59, 52, 60000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614205.077, datetime.datetime(2018, 5, 18, 9, 0, 5, 77000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614206.084, datetime.datetime(2018, 5, 18, 9, 0, 6, 84000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614209.075, datetime.datetime(2018, 5, 18, 9, 0, 9, 75000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614212.084, datetime.datetime(2018, 5, 18, 9, 0, 12, 84000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614215.1, datetime.datetime(2018, 5, 18, 9, 0, 15, 100000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614217.097, datetime.datetime(2018, 5, 18, 9, 0, 17, 97000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614224.098, datetime.datetime(2018, 5, 18, 9, 0, 24, 98000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614225.1, datetime.datetime(2018, 5, 18, 9, 0, 25, 100000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614226.102, datetime.datetime(2018, 5, 18, 9, 0, 26, 102000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614253.78, datetime.datetime(2018, 5, 18, 9, 0, 53, 780000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614255.797, datetime.datetime(2018, 5, 18, 9, 0, 55, 797000)]
Room: 303, Node number: 3, [3, '303', 1, 1526614267.784, datetime.datetime(2018, 5, 18, 9, 1, 7, 784000)]
Room: 303, Node number: 3, [3, '303', 1, 1526614267.816, datetime.datetime(2018, 5, 18, 9, 1, 7, 816000)]
Room: 303, Node number: 3, [3, '303', 0, 1526614276.718, datetime.datetime(2018, 5, 18, 9, 1, 16, 718000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614283.974, datetime.datetime(2018, 5, 18, 9, 1, 23, 974000)]
Room: 303, Node number: 3, [3, '303', 0, 1526614285.7, datetime.datetime(2018, 5, 18, 9, 1, 25, 700000)]
Room: 303, Node number: 3, [3, '303', 1, 1526614290.686, datetime.datetime(2018, 5, 18, 9, 1, 30, 686000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614290.971, datetime.datetime(2018, 5, 18, 9, 1, 30, 971000)]
Room: 303, Node number: 3, [3, '303', 0, 1526614298.759, datetime.datetime(2018, 5, 18, 9, 1, 38, 759000)]
Room: 303, Node number: 3, [3, '303', 1, 1526614300.995, datetime.datetime(2018, 5, 18, 9, 1, 40, 995000)]
Room: 303, Node number: 3, [3, '303', 0, 1526614304.117, datetime.datetime(2018, 5, 18, 9, 1, 44, 117000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614305.99, datetime.datetime(2018, 5, 18, 9, 1, 45, 990000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614461.429, datetime.datetime(2018, 5, 18, 9, 4, 21, 429000)]
Room: 303, Node number: 3, [3, '303', 1, 1526614461.984, datetime.datetime(2018, 5, 18, 9, 4, 21, 984000)]
Room: 303, Node number: 3, [3, '303', 1, 1526614462.015, datetime.datetime(2018, 5, 18, 9, 4, 22, 15000)]
Room: 303, Node number: 3, [3, '303', 0, 1526614463.033, datetime.datetime(2018, 5, 18, 9, 4, 23, 33000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614468.465, datetime.datetime(2018, 5, 18, 9, 4, 28, 465000)]
Room: 303, Node number: 3, [3, '303', 1, 1526614469.047, datetime.datetime(2018, 5, 18, 9, 4, 29, 47000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614472.465, datetime.datetime(2018, 5, 18, 9, 4, 32, 465000)]
Room: 303, Node number: 3, [3, '303', 0, 1526614473.382, datetime.datetime(2018, 5, 18, 9, 4, 33, 382000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614479.478, datetime.datetime(2018, 5, 18, 9, 4, 39, 478000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614481.465, datetime.datetime(2018, 5, 18, 9, 4, 41, 465000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614487.492, datetime.datetime(2018, 5, 18, 9, 4, 47, 492000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614489.533, datetime.datetime(2018, 5, 18, 9, 4, 49, 533000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614492.618, datetime.datetime(2018, 5, 18, 9, 4, 52, 618000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614496.695, datetime.datetime(2018, 5, 18, 9, 4, 56, 695000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614508.86, datetime.datetime(2018, 5, 18, 9, 5, 8, 860000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614510.979, datetime.datetime(2018, 5, 18, 9, 5, 10, 979000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614538.413, datetime.datetime(2018, 5, 18, 9, 5, 38, 413000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614540.428, datetime.datetime(2018, 5, 18, 9, 5, 40, 428000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614548.462, datetime.datetime(2018, 5, 18, 9, 5, 48, 462000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614553.542, datetime.datetime(2018, 5, 18, 9, 5, 53, 542000)]
Room: 303, Node number: 1, [1, '303', 1, 1526614555.715, datetime.datetime(2018, 5, 18, 9, 5, 55, 715000)]
Room: 303, Node number: 3, [3, '303', 1, 1526614559.817, datetime.datetime(2018, 5, 18, 9, 5, 59, 817000)]
Room: 303, Node number: 3, [3, '303', 1, 1526614559.822, datetime.datetime(2018, 5, 18, 9, 5, 59, 822000)]
Room: 303, Node number: 3, [3, '303', 0, 1526614562.795, datetime.datetime(2018, 5, 18, 9, 6, 2, 795000)]
Room: 303, Node number: 3, [3, '303', 1, 1526614568.4, datetime.datetime(2018, 5, 18, 9, 6, 8, 400000)]
Room: 303, Node number: 1, [1, '303', 0, 1526614571.757, datetime.datetime(2018, 5, 18, 9, 6, 11, 757000)]
