Room: 303, Node number: 2, [2, '303', 0, 1526275171.751, datetime.datetime(2018, 5, 14, 10, 49, 31, 751000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275171.943, datetime.datetime(2018, 5, 14, 10, 49, 31, 943000)]
Room: 303, Node number: 2, [2, '303', 0, 1526275175.853, datetime.datetime(2018, 5, 14, 10, 49, 35, 853000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275184.818, datetime.datetime(2018, 5, 14, 10, 49, 44, 818000)]
Room: 303, Node number: 2, [2, '303', 0, 1526275188.692, datetime.datetime(2018, 5, 14, 10, 49, 48, 692000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275194.281, datetime.datetime(2018, 5, 14, 10, 49, 54, 281000)]
Room: 303, Node number: 2, [2, '303', 0, 1526275198.174, datetime.datetime(2018, 5, 14, 10, 49, 58, 174000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275210.553, datetime.datetime(2018, 5, 14, 10, 50, 10, 553000)]
Room: 303, Node number: 2, [2, '303', 0, 1526275214.453, datetime.datetime(2018, 5, 14, 10, 50, 14, 453000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275221.187, datetime.datetime(2018, 5, 14, 10, 50, 21, 187000)]
Room: 303, Node number: 2, [2, '303', 0, 1526275225.082, datetime.datetime(2018, 5, 14, 10, 50, 25, 82000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275232.023, datetime.datetime(2018, 5, 14, 10, 50, 32, 23000)]
Room: 303, Node number: 2, [2, '303', 0, 1526275235.913, datetime.datetime(2018, 5, 14, 10, 50, 35, 913000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275241.743, datetime.datetime(2018, 5, 14, 10, 50, 41, 743000)]
Room: 303, Node number: 2, [2, '303', 0, 1526275245.638, datetime.datetime(2018, 5, 14, 10, 50, 45, 638000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275251.113, datetime.datetime(2018, 5, 14, 10, 50, 51, 113000)]
Room: 303, Node number: 2, [2, '303', 0, 1526275255.022, datetime.datetime(2018, 5, 14, 10, 50, 55, 22000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275260.344, datetime.datetime(2018, 5, 14, 10, 51, 0, 344000)]
Room: 303, Node number: 2, [2, '303', 0, 1526275264.246, datetime.datetime(2018, 5, 14, 10, 51, 4, 246000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275275.641, datetime.datetime(2018, 5, 14, 10, 51, 15, 641000)]
Room: 303, Node number: 2, [2, '303', 0, 1526275279.527, datetime.datetime(2018, 5, 14, 10, 51, 19, 527000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275285.265, datetime.datetime(2018, 5, 14, 10, 51, 25, 265000)]
Room: 303, Node number: 2, [2, '303', 0, 1526275289.165, datetime.datetime(2018, 5, 14, 10, 51, 29, 165000)]
Room: 303, Node number: 2, [2, '303', 1, 1526275295.477, datetime.datetime(2018, 5, 14, 10, 51, 35, 477000)]
